team_id,gf,ga,comp,date
IRQ,0,2,competitive,2025-12-09
IRQ,0,1,competitive,2025-12-12
IRQ,1,1,friendly,2026-06-04
JOR,0,2,qualifier,2024-10-10
JOR,0,0,qualifier,2024-11-14
JOR,0,0,friendly,2025-01-22
JOR,1,1,qualifier,2025-03-25
JOR,0,2,friendly,2025-05-30
JOR,0,1,qualifier,2025-06-10
JOR,2,3,friendly,2025-11-14
JOR,3,0,competitive,2025-12-09
JOR,1,0,competitive,2025-12-12
JOR,1,0,competitive,2025-12-15
JOR,2,3,competitive,2025-12-18
JOR,1,4,friendly,2026-05-31
JPN,1,2,competitive,2024-02-03
JPN,2,0,qualifier,2024-10-10
JPN,1,1,qualifier,2024-10-15
JPN,0,0,qualifier,2025-03-25
JPN,0,1,qualifier,2025-06-05
JPN,0,0,friendly,2025-09-06
JPN,0,2,friendly,2025-09-09
JPN,2,2,competitive,2025-10-10
JPN,3,2,competitive,2025-10-14
JPN,2,0,competitive,2025-11-14
JPN,1,0,friendly,2026-03-28
JPN,1,0,friendly,2026-03-31
KOR,0,2,competitive,2024-02-06
KOR,2,0,qualifier,2024-10-10
KOR,3,2,qualifier,2024-10-15
KOR,1,1,qualifier,2025-03-25
KOR,2,0,qualifier,2025-06-05
KOR,2,0,friendly,2025-09-06
KOR,2,2,friendly,2025-09-09
KOR,0,5,friendly,2025-10-10
KOR,2,0,friendly,2025-10-14
KOR,1,0,friendly,2025-11-18
KOR,0,4,friendly,2026-03-28
KOR,0,1,friendly,2026-03-31
KSA,1,2,qualifier,2025-06-10
KSA,1,0,competitive,2025-06-15
KSA,0,1,competitive,2025-06-19
KSA,0,2,competitive,2025-06-28
KSA,1,1,friendly,2025-09-08
KSA,0,0,qualifier,2025-10-14
KSA,1,0,friendly,2025-11-14
KSA,0,2,friendly,2025-11-18
KSA,0,1,competitive,2025-12-08
KSA,0,1,competitive,2025-12-15
KSA,0,4,friendly,2026-03-27
KSA,1,2,friendly,2026-05-30
MAR,2,1,friendly,2023-03-25
MAR,0,0,friendly,2023-06-12
MAR,1,2,qualifier,2023-06-17
MAR,1,1,friendly,2023-10-14
MAR,1,1,competitive,2024-01-21
MAR,0,2,competitive,2024-01-30
MAR,2,0,friendly,2025-06-06
MAR,1,0,competitive,2025-12-08
MAR,3,2,competitive,2025-12-18
MAR,3,0,competitive,2026-01-18
MAR,1,1,friendly,2026-03-27
MAR,2,1,friendly,2026-03-31
MEX,2,1,competitive,2025-07-06
MEX,0,0,friendly,2025-09-06
MEX,2,2,friendly,2025-09-09
MEX,0,4,friendly,2025-10-11
MEX,1,1,friendly,2025-10-14
MEX,0,0,friendly,2025-11-15
MEX,1,2,friendly,2025-11-18
MEX,1,0,friendly,2026-01-22
MEX,0,0,friendly,2026-03-28
MEX,1,1,friendly,2026-03-31
MEX,2,0,friendly,2026-05-22
MEX,1,0,friendly,2026-05-30
NED,2,3,competitive,2024-06-25
NED,2,1,competitive,2024-07-06
